# timestamp	dir	opcode	enc	len	hex
14:58:15.083	IN	-36	1	39	dc00000000040005312e342e330005756e69747900000140000000f0000276690005322e342e39
14:58:15.087	OUT	-36	0	2	dc01
14:58:15.220	IN	64	1	1	40
14:58:15.221	OUT	64	0	41	400000000100094c6f63616c686f737400093132372e302e302e3100004aec00004aec00004aec0101
14:58:18.157	IN	1	1	39	010009676f706574746573740008616263313233343500000005312e342e330000000000000000
14:58:18.847	OUT	3	0	54	03000005b200066b7a6864397800066b7a68643978001b666538303a3a623666643a393465663a393136343a63313535253500004aec
14:58:18.848	OUT	121	0	6	790000001200
14:58:18.851	OUT	31	0	22	1f000005b200066b7a68643978000000000000000000
14:58:18.852	OUT	29	0	18	1d0000000b00000000000000006000000060
14:58:18.853	OUT	34	0	2208	2200ffffffe7ffffffe70000003200000032ffffffff00136e7063735c5c7472616e5f7472616e2e706e670000000100000176000000750000000600000002002c4e68e1baad6e20706574206d69e1bb856e207068c3ad2063686f206e67c6b0e1bb9d69206de1bb9b69203a2900224e68e1baad6e20706574206d69e1bb856e207068c3ad2074e1baa16920c491c3a27900095452414e204348414e0100ffffffe7ffffffe70000003200000032fffffff900166e7063732f6261635f73695f78695f74696e2e706e6700000001000001d6000001580000000600000001002242c3a1632073c4a9207468c3ba2079206dc3a1742074617920c491c3a2792028...
14:58:18.866	OUT	81	0	6	511600000000
14:58:18.866	OUT	81	0	86	510801000005b200000001000f7065744672616d65332f312e706e6700315275612054657374202873616f64656e292873616f64656e292873616f64656e292873616f64656e292873616f64656e2900000002020000
14:58:18.866	OUT	81	0	18	5128ffffb90800000f46000005b000000f74
14:58:18.866	OUT	81	0	31	515c0300000001000005b20011616e696d5f77696e67732f31352e706e6723
14:58:18.866	OUT	81	0	33	513d00000001000005b20015616e696d5f636861726163746572732f312e706e67
14:58:18.866	OUT	81	0	33	513d00000001000005b20015616e696d5f636861726163746572732f312e706e67
14:58:18.866	OUT	81	0	23	515b1700000001000005b2000a554e4954594755494c44
14:58:18.866	OUT	81	0	23	515b1700000001000005b2000a554e4954594755494c44
14:58:18.866	OUT	81	0	10	5104000005b200000000
14:58:18.866	OUT	81	0	10	5105000005b200000000
14:58:18.866	OUT	81	0	6	515e00000014
14:58:18.867	OUT	81	0	34	5119000000140000000000018448000000000000c3dc000000000000000000000000
14:58:18.867	OUT	81	0	18	516600000014000000000000000000000000
14:58:18.867	OUT	81	0	18	5128ffffb90800000f46000005b000000f74
14:58:19.129	IN	81	1	3	515b0e
14:58:19.133	OUT	81	0	141	515b0e0000006306001b54c3aa6e2062616e672068e1bb99693a20556e6974794775696c64000943e1baa5703a203135001242616e67206368e1bba73a206b7a6864397800125468c3a06e68207669c3aa6e3a20352f323900214b68e1baa975206869e1bb87753a2042616e67206d61752063686f20556e69747900105175e1bbb93a20322e3733352e303030
14:58:19.198	IN	81	1	2	5136
14:58:19.215	OUT	122	0	37	7a080000040a0200184e6869e1bb876d2076e1bba52063e1bba7612062e1baa16e00000000
14:58:19.272	OUT	81	0	6	516700005dc0
14:58:22.781	IN	27	1	262	1b000005b2000000000b0000003e0000009e0000007a0000009e0000007b0000009f0000007b0000009f0000007c000000a00000007c000000a00000007d000000a10000007d000000a10000007e000000a20000007e000000a20000007f000000a30000007f000000a500000081000000a600000081000000a700000082000000a900000082000000aa00000083000000ae00000083000000ae00000084000000b400000084000000b500000085000000da00000085000000da00000084000000e800000084000000e800000083000000f500000083000000f500000082000001020000008200000103000000810000010f0000008100000110000000800000...
